Sample ID,Population Abbreviation,Population Descriptor
HG01891,ACB,African Caribbean in Barbados
HG01123,CLM,"Colombian in Medellin, Colombia"
HG02559,ACB,African Caribbean in Barbados
HG02486,ACB,African Caribbean in Barbados
HG01361,CLM,"Colombian in Medellin, Colombia"
HG02572,GWD,Gambian in Western Division Ð Mandinka
HG03516,ESN,Esan in Nigeria
HG02717,GWD,Gambian in Western Division Ð Mandinka
HG02886,GWD,Gambian in Western Division Ð Mandinka
HG02630,GWD,Gambian in Western Division Ð Mandinka
HG03453,MSL,Mende in Sierra Leone
HG03579,MSL,Mende in Sierra Leone
HG03540,GWD,Gambian in Western Division Ð Mandinka
HG02622,GWD,Gambian in Western Division Ð Mandinka
HG03471,MSL,Mende in Sierra Leone
HG01928,PEL,"Peruvian in Lima, Peru"
HG01175,PUR,Puerto Rican in Puerto Rico
HG01106,PUR,Puerto Rican in Puerto Rico
HG00735,PUR,Puerto Rican in Puerto Rico
HG00438,CHS,"Han Chinese South, China"
HG00673,CHS,"Han Chinese South, China"
HG02257,ACB,African Caribbean in Barbados
HG01358,CLM,"Colombian in Medellin, Colombia"
HG01258,CLM,"Colombian in Medellin, Colombia"
HG00733,PUR,Puerto Rican in Puerto Rico
HG01978,PEL,"Peruvian in Lima, Peru"
HG01952,PEL,"Peruvian in Lima, Peru"
HG02148,PEL,"Peruvian in Lima, Peru"
HG00741,PUR,Puerto Rican in Puerto Rico
HG01071,PUR,Puerto Rican in Puerto Rico
HG00621,CHS,"Han Chinese South, China"
NA18940,JPT,"Japanese in Tokyo, Japan"
NA18943,JPT,"Japanese in Tokyo, Japan"
NA18944,JPT,"Japanese in Tokyo, Japan"
NA18945,JPT,"Japanese in Tokyo, Japan"
NA18948,JPT,"Japanese in Tokyo, Japan"
NA18959,JPT,"Japanese in Tokyo, Japan"
NA18960,JPT,"Japanese in Tokyo, Japan"
NA18967,JPT,"Japanese in Tokyo, Japan"
NA18970,JPT,"Japanese in Tokyo, Japan"
