Sample,Index
HG00640,0
HG01669,1
HG00138,2
HG01356,3
HG00651,4
HG02030,5
HG02031,6
HG02300,7
NA12343,8
HG01865,9
HG02408,10
HG02409,11
HG01372,12
HG01939,13
HG00732,14
HG02220,15
HG01383,16
HGDP00003,17
HGDP00060,18
HGDP00062,19
HGDP00064,20
HGDP00066,21
HGDP00068,22
HG00178,23
HGDP01366,24
HGDP01367,25
HG00638,26
HG01392,27
HG01393,28
HG01395,29
HG01396,30
HG01398,31
HG00140,32
HG00337,33
NA19043,34
NA19428,35
NA19429,36
HG01956,37
NA19096,38
HGDP00993,39
NA19338,40
HG01976,41
HGDP00995,42
HGDP00999,43
HGDP00226,44
NA11839,45
HG02253,46
LP6005441-DNA_F10,47
HG03701,48
NA21127,49
HG01437,50
HGDP00854,51
HGDP00858,52
HGDP00859,53
HG00671,54
HGDP01293,55
HGDP01294,56
HG01148,57
HG02180,58
HG03350,59
NA19257,60
HGDP00876,61
NA19749,62
HG00320,63
HG01703,64
HG01705,65
HG01708,66
HG01150,67
HG01164,68
HG00442,69
HG00592,70
HG00595,71
HG00596,72
HG00597,73
HG00598,74
HG00428,75
NA18528,76
HG02585,77
HG02895,78
HG02896,79
HG01766,80
HG03808,81
HG01844,82
HGDP01214,83
HG03976,84
HGDP00513,85
NA06994,86
NA20790,87
HG01853,88
HGDP00491,89
HG03006,90
HGDP00490,91
HG01802,92
SS6004467,93
NA12386,94
NA12889,95
HGDP00479,96
HGDP01090,97
HGDP01092,98
HG00552,99
HG01094,100
HGDP01094,101
HG01095,102
HG01096,103
HG01097,104
HG01098,105
HG01099,106
HGDP01339,107
HGDP01354,108
NA11933,109
HG00237,110
HGDP00187,111
HG01284,112
HG01360,113
HG01361,114
HG01362,115
HG01363,116
HG01367,117
HG01369,118
NA18515,119
NA18934,120
HG00706,121
NA19083,122
HG03858,123
HGDP01342,124
HG01940,125
NA19663,126
NA19665,127
NA10835,128
NA12234,129
HG01631,130
HGDP00307,131
HG01586,132
HG03968,133
HG03969,134
HG02666,135
HG02841,136
HG02974,137
HG03120,138
HG03129,139
NA19036,140
NA19041,141
NA19042,142
HG00263,143
HG02492,144
HG03021,145
HG03022,146
HG00558,147
HG00610,148
HG00612,149
HG00613,150
HG00615,151
HG00743,152
LP6005441-DNA_C02,153
HG01260,154
NA19782,155
NA19783,156
NA19784,157
HG00622,158
HG00674,159
HG00675,160
HG01993,161
NA19670,162
NA19677,163
HG03473,164
HG03547,165
HG03548,166
HG01114,167
HG01521,168
HGDP00721,169
LP6005443-DNA_F07,170
HG01068,171
HG01402,172
HG01403,173
HG01405,174
NA12813,175
NA19656,176
NA12485,177
NA12775,178
HG00232,179
HG01136,180
HG02025,181
HG00472,182
HG01600,183
HG01170,184
HG01171,185
HG01172,186
HG01173,187
HG01174,188
HG01175,189
HG01176,190
HG01177,191
HG01178,192
HG00683,193
HG00685,194
HG00689,195
HG01255,196
NA12489,197
NA20859,198
HGDP01156,199
NA10838,200
HG01790,201
LP6005441-DNA_G10,202
HG01088,203
HGDP00837,204
HGDP00838,205
HG02088,206
HGDP00712,207
HG02659,208
HG03754,209
HG01341,210
NA19730,211
NA19732,212
HG00362,213
NA12776,214
HGDP00777,215
NA18562,216
NA18563,217
HG01523,218
NA11843,219
HG02401,220
LP6005441-DNA_G03,221
NA19375,222
NA19401,223
NA19403,224
NA19404,225
HG02688,226
HG04062,227
NA19190,228
NA19210,229
NA19211,230
HG03802,231
HG01058,232
NA21114,233
HG00445,234
HGDP01059,235
NA20895,236
NA21090,237
NA21092,238
NA21093,239
NA21094,240
HGDP00103,241
HGDP00104,242
HGDP00105,243
HGDP00106,244
HGDP00108,245
HGDP00109,246
HG01101,247
HGDP00970,248
HG01804,249
HGDP00821,250
HGDP00891,251
NA12891,252
NA19659,253
NA19720,254
NA19721,255
NA19723,256
NA19724,257
NA19726,258
NA19727,259
NA19728,260
NA19729,261
NA18993,262
NA19055,263
NA19056,264
NA19057,265
NA19058,266
NA19059,267
HG03373,268
HGDP00943,269
HG03134,270
HG03189,271
HG01858,272
NA18611,273
NA18616,274
NA18618,275
HG01812,276
HG03929,277
HG02089,278
NA19675,279
NA19678,280
HGDP00149,281
HG00318,282
HG00380,283
HG00381,284
HG00382,285
HG00383,286
HG00384,287
NA19780,288
NA19785,289
NA19786,290
NA19787,291
HG02020,292
HG02113,293
HG02116,294
HG01805,295
HG02018,296
HG02019,297
HG03366,298
HG03367,299
HG03368,300
HG02291,301
NA11992,302
NA11995,303
HG00851,304
HG01579,305
HG02292,306
HG02293,307
HG02299,308
HG01922,309
NA19722,310
HG00313,311
HG03904,312
HG03906,313
HG02072,314
HGDP00607,315
HGDP00701,316
HG01515,317
HG01672,318
HG00245,319
NA11893,320
HG01676,321
HG01677,322
HG01678,323
HG01607,324
HG02236,325
HG02237,326
HGDP00957,327
NA18642,328
NA18644,329
HG01513,330
HGDP01372,331
HGDP01373,332
HGDP01375,333
HGDP01377,334
HGDP01379,335
HG02258,336
HG02314,337
HG02315,338
HG02279,339
NA20814,340
NA19776,341
NA19790,342
HG02073,343
HG02121,344
HG02023,345
HG02026,346
HG02027,347
HG02028,348
HG02029,349
HG01365,350
HG01550,351
HG02375,352
NA18972,353
NA18977,354
NA18979,355
NA20511,356
NA20512,357
NA20515,358
NA20517,359
NA20518,360
NA20519,361
NA07048,362
NA10861,363
NA10865,364
NA12264,365
NA12707,366
HG02390,367
HGDP01238,368
HG01975,369
NA19731,370
NA19733,371
NA19735,372
NA10859,373
NA11930,374
NA11931,375
NA11932,376
HG01841,377
HG01846,378
NA07345,379
NA11829,380
NA19117,381
NA19239,382
HG01490,383
HG01491,384
HG01492,385
HG01493,386
HG01494,387
HG01495,388
HG01496,389
HG01497,390
HG01498,391
HG01499,392
LP6005441-DNA_B12,393
HGDP00952,394
HG00559,395
HGDP00173,396
HG01864,397
HG02785,398
HG00608,399
NA18606,400
HG00346,401
HGDP00551,402
HGDP00553,403
HG02380,404
HG02382,405
HG02383,406
HG02384,407
HG02385,408
HG02386,409
HG02389,410
HG03862,411
HG04018,412
HG04019,413
HG00141,414
HG04025,415
NA21107,416
HG00353,417
NA07014,418
HG00556,419
NA18947,420
HG00355,421
HGDP00880,422
HGDP00881,423
HGDP00884,424
HGDP00886,425
HGDP00888,426
HGDP00889,427
HG03589,428
HG03806,429
NA18964,430
NA18980,431
NA18982,432
NA18983,433
NA18984,434
NA18985,435
NA18986,436
NA18987,437
NA18988,438
HG02379,439
LP6005443-DNA_F01,440
HG00553,441
HG00740,442
HG00741,443
HG00742,444
HG00329,445
HG02287,446
HG01277,447
HG02273,448
HG02278,449
HG03116,450
HG03480,451
HG03486,452
HGDP01296,453
HGDP00655,454
NA18623,455
HG01556,456
HG02002,457
HG02004,458
HG02008,459
HG01519,460
HG01528,461
HGDP00806,462
NA19140,463
NA20128,464
NA11993,465
HG00465,466
HG03804,467
HG01573,468
HG00652,469
HG03169,470
HG03499,471
NA12877,472
HG02351,473
HG02250,474
HG02355,475
HG02356,476
HG02495,477
HGDP00025,478
HG00766,479
HG01414,480
HGDP00871,481
HG01615,482
NA12400,483
HG01857,484
LP6005441-DNA_D05,485
HG00278,486
HGDP00351,487
