comparison,hap1,hap2,cross_pairs,runtime_seconds,records,ibs_rate,fold
AFR-EUR,134,60,8040,3310.448567883,3913680,0.24229771996166505,2.741401484820313
AFR-EAS,134,100,13400,3973.978899756,6180820,0.22959443697391588,2.5976741775628693
AFR-CSA,134,72,9648,3498.856348168,4224667,0.21795922288342592,2.4660312005306553
AFR-AMR,134,88,11792,3772.310561846,5231654,0.22083688192820233,2.4985895703717116
EUR-EAS,60,100,6000,2740.24093282,5685952,0.47170665339306456,5.336976840788929
EUR-CSA,60,72,4320,2275.594429004,3794257,0.43718279317146913,4.9463674628377685
EUR-AMR,60,88,5280,2542.192419437,4970802,0.4686111362505091,5.301953583895588
EAS-CSA,100,72,7200,2937.343406308,6315481,0.436610322990985,4.939890428703717
EAS-AMR,100,88,8800,3206.630979402,7672831,0.4340032920041631,4.910393995062588
CSA-AMR,72,88,6336,2734.562965776,5172012,0.4063164622833612,4.597140052274426
