chrom	start	end	group.a	group.b	estimated.identity
CHM13#0#chr12	15000000	15009999	HG00099#1#CM087323.1:15023758-15033756	HG00099#2#CM087367.1:15058812-15068810	1
CHM13#0#chr12	15000000	15009999	HG00099#2#CM087367.1:15058812-15068810	HG00126#2#CM090130.1:15067156-15077153	0.99985
CHM13#0#chr12	15000000	15009999	HG00097#1#CM094068.1:15162402-15172395	HG00099#2#CM087367.1:15058812-15068810	0.9996498
CHM13#0#chr12	15000000	15009999	HG00097#2#CM094083.1:15201567-15211558	HG00099#2#CM087367.1:15058812-15068810	0.9991495
CHM13#0#chr12	15000000	15009999	HG00099#2#CM087367.1:15058812-15068810	HG00126#1#CM090116.1:15160157-15170146	0.9990494
CHM13#0#chr12	15000000	15009999	HG00099#1#CM087323.1:15023758-15033756	HG00126#2#CM090130.1:15067156-15077153	0.99985
CHM13#0#chr12	15000000	15009999	HG00097#1#CM094068.1:15162402-15172395	HG00099#1#CM087323.1:15023758-15033756	0.9996498
CHM13#0#chr12	15000000	15009999	HG00097#2#CM094083.1:15201567-15211558	HG00099#1#CM087323.1:15023758-15033756	0.9991495
CHM13#0#chr12	15000000	15009999	HG00099#1#CM087323.1:15023758-15033756	HG00126#1#CM090116.1:15160157-15170146	0.9990494
CHM13#0#chr12	15000000	15009999	HG00097#1#CM094068.1:15162402-15172395	HG00126#2#CM090130.1:15067156-15077153	0.9997998
CHM13#0#chr12	15000000	15009999	HG00097#2#CM094083.1:15201567-15211558	HG00126#2#CM090130.1:15067156-15077153	0.9990994
CHM13#0#chr12	15000000	15009999	HG00126#1#CM090116.1:15160157-15170146	HG00126#2#CM090130.1:15067156-15077153	0.9990993
CHM13#0#chr12	15000000	15009999	HG00097#1#CM094068.1:15162402-15172395	HG00097#2#CM094083.1:15201567-15211558	0.9988992
CHM13#0#chr12	15000000	15009999	HG00097#1#CM094068.1:15162402-15172395	HG00126#1#CM090116.1:15160157-15170146	0.998899
CHM13#0#chr12	15000000	15009999	HG00097#2#CM094083.1:15201567-15211558	HG00126#1#CM090116.1:15160157-15170146	0.9997998
CHM13#0#chr12	15010000	15019999	HG00097#2#CM094083.1:15211559-15221555	HG00126#1#CM090116.1:15170147-15180144	0.99985
CHM13#0#chr12	15010000	15019999	HG00126#1#CM090116.1:15170147-15180144	HG00126#2#CM090130.1:15077154-15087149	0.9984994
CHM13#0#chr12	15010000	15019999	HG00099#2#CM087367.1:15068811-15078806	HG00126#1#CM090116.1:15170147-15180144	0.9984994
CHM13#0#chr12	15010000	15019999	HG00099#1#CM087323.1:15033757-15043752	HG00126#1#CM090116.1:15170147-15180144	0.9984994
CHM13#0#chr12	15010000	15019999	HG00097#1#CM094068.1:15172396-15182391	HG00126#1#CM090116.1:15170147-15180144	0.9984994
CHM13#0#chr12	15010000	15019999	HG00097#2#CM094083.1:15211559-15221555	HG00126#2#CM090130.1:15077154-15087149	0.9984493
CHM13#0#chr12	15010000	15019999	HG00097#2#CM094083.1:15211559-15221555	HG00099#2#CM087367.1:15068811-15078806	0.9984493
CHM13#0#chr12	15010000	15019999	HG00097#2#CM094083.1:15211559-15221555	HG00099#1#CM087323.1:15033757-15043752	0.9984493
CHM13#0#chr12	15010000	15019999	HG00097#1#CM094068.1:15172396-15182391	HG00097#2#CM094083.1:15211559-15221555	0.9984493
CHM13#0#chr12	15010000	15019999	HG00099#2#CM087367.1:15068811-15078806	HG00126#2#CM090130.1:15077154-15087149	1
CHM13#0#chr12	15010000	15019999	HG00099#1#CM087323.1:15033757-15043752	HG00126#2#CM090130.1:15077154-15087149	1
CHM13#0#chr12	15010000	15019999	HG00097#1#CM094068.1:15172396-15182391	HG00126#2#CM090130.1:15077154-15087149	0.9996998
CHM13#0#chr12	15010000	15019999	HG00099#1#CM087323.1:15033757-15043752	HG00099#2#CM087367.1:15068811-15078806	1
CHM13#0#chr12	15010000	15019999	HG00097#1#CM094068.1:15172396-15182391	HG00099#2#CM087367.1:15068811-15078806	0.9996998
CHM13#0#chr12	15010000	15019999	HG00097#1#CM094068.1:15172396-15182391	HG00099#1#CM087323.1:15033757-15043752	0.9996998
CHM13#0#chr12	15020000	15029999	HG00097#1#CM094068.1:15182392-15192407	HG00126#2#CM090130.1:15087150-15097166	0.9995507
CHM13#0#chr12	15020000	15029999	HG00097#2#CM094083.1:15221556-15231570	HG00126#2#CM090130.1:15087150-15097166	0.9992012
CHM13#0#chr12	15020000	15029999	HG00099#2#CM087367.1:15078807-15088821	HG00126#2#CM090130.1:15087150-15097166	0.9999002
CHM13#0#chr12	15020000	15029999	HG00099#1#CM087323.1:15043753-15053767	HG00126#2#CM090130.1:15087150-15097166	0.9999002
CHM13#0#chr12	15020000	15029999	HG00126#1#CM090116.1:15180145-15190159	HG00126#2#CM090130.1:15087150-15097166	0.9991013
CHM13#0#chr12	15020000	15029999	HG00097#1#CM094068.1:15182392-15192407	HG00097#2#CM094083.1:15221556-15231570	0.9992511
CHM13#0#chr12	15020000	15029999	HG00097#1#CM094068.1:15182392-15192407	HG00099#2#CM087367.1:15078807-15088821	0.9995507
CHM13#0#chr12	15020000	15029999	HG00097#1#CM094068.1:15182392-15192407	HG00099#1#CM087323.1:15043753-15053767	0.9995507
CHM13#0#chr12	15020000	15029999	HG00097#1#CM094068.1:15182392-15192407	HG00126#1#CM090116.1:15180145-15190159	0.9995507
CHM13#0#chr12	15020000	15029999	HG00097#2#CM094083.1:15221556-15231570	HG00099#2#CM087367.1:15078807-15088821	0.999301
CHM13#0#chr12	15020000	15029999	HG00097#2#CM094083.1:15221556-15231570	HG00099#1#CM087323.1:15043753-15053767	0.999301
CHM13#0#chr12	15020000	15029999	HG00097#2#CM094083.1:15221556-15231570	HG00126#1#CM090116.1:15180145-15190159	0.9997004
CHM13#0#chr12	15020000	15029999	HG00099#1#CM087323.1:15043753-15053767	HG00099#2#CM087367.1:15078807-15088821	1
CHM13#0#chr12	15020000	15029999	HG00099#2#CM087367.1:15078807-15088821	HG00126#1#CM090116.1:15180145-15190159	0.9992011
CHM13#0#chr12	15020000	15029999	HG00099#1#CM087323.1:15043753-15053767	HG00126#1#CM090116.1:15180145-15190159	0.9992011
CHM13#0#chr12	15030000	15039999	HG00097#2#CM094083.1:15231571-15241589	HG00126#1#CM090116.1:15190160-15200173	0.9988518
CHM13#0#chr12	15030000	15039999	HG00097#1#CM094068.1:15192408-15202415	HG00097#2#CM094083.1:15231571-15241589	0.9984519
CHM13#0#chr12	15030000	15039999	HG00097#2#CM094083.1:15231571-15241589	HG00126#2#CM090130.1:15097167-15107160	0.9973515
CHM13#0#chr12	15030000	15039999	HG00097#2#CM094083.1:15231571-15241589	HG00099#2#CM087367.1:15088822-15098815	0.9973515
CHM13#0#chr12	15030000	15039999	HG00097#2#CM094083.1:15231571-15241589	HG00099#1#CM087323.1:15053768-15063761	0.9973515
CHM13#0#chr12	15030000	15039999	HG00097#1#CM094068.1:15192408-15202415	HG00126#1#CM090116.1:15190160-15200173	0.9992008
CHM13#0#chr12	15030000	15039999	HG00126#1#CM090116.1:15190160-15200173	HG00126#2#CM090130.1:15097167-15107160	0.9972008
CHM13#0#chr12	15030000	15039999	HG00099#2#CM087367.1:15088822-15098815	HG00126#1#CM090116.1:15190160-15200173	0.9972008
CHM13#0#chr12	15030000	15039999	HG00099#1#CM087323.1:15053768-15063761	HG00126#1#CM090116.1:15190160-15200173	0.9972008
CHM13#0#chr12	15030000	15039999	HG00097#1#CM094068.1:15192408-15202415	HG00126#2#CM090130.1:15097167-15107160	0.9973
CHM13#0#chr12	15030000	15039999	HG00097#1#CM094068.1:15192408-15202415	HG00099#2#CM087367.1:15088822-15098815	0.9973
CHM13#0#chr12	15030000	15039999	HG00097#1#CM094068.1:15192408-15202415	HG00099#1#CM087323.1:15053768-15063761	0.9973
CHM13#0#chr12	15030000	15039999	HG00099#2#CM087367.1:15088822-15098815	HG00126#2#CM090130.1:15097167-15107160	1
CHM13#0#chr12	15030000	15039999	HG00099#1#CM087323.1:15053768-15063761	HG00126#2#CM090130.1:15097167-15107160	1
CHM13#0#chr12	15030000	15039999	HG00099#1#CM087323.1:15053768-15063761	HG00099#2#CM087367.1:15088822-15098815	1
CHM13#0#chr12	15040000	15049999	HG00097#2#CM094083.1:15241590-15251581	HG00126#2#CM090130.1:15107161-15117149	0.9975474
CHM13#0#chr12	15040000	15049999	HG00097#2#CM094083.1:15241590-15251581	HG00099#2#CM087367.1:15098816-15108802	0.9977474
CHM13#0#chr12	15040000	15049999	HG00097#2#CM094083.1:15241590-15251581	HG00099#1#CM087323.1:15063762-15073748	0.9988487
CHM13#0#chr12	15040000	15049999	HG00097#2#CM094083.1:15241590-15251581	HG00126#1#CM090116.1:15200174-15210160	0.9988487
CHM13#0#chr12	15040000	15049999	HG00097#1#CM094068.1:15202416-15212384	HG00097#2#CM094083.1:15241590-15251581	0.9982464
CHM13#0#chr12	15040000	15049999	HG00099#2#CM087367.1:15098816-15108802	HG00126#2#CM090130.1:15107161-15117149	0.9997997
CHM13#0#chr12	15040000	15049999	HG00099#1#CM087323.1:15063762-15073748	HG00126#2#CM090130.1:15107161-15117149	0.998498
CHM13#0#chr12	15040000	15049999	HG00126#1#CM090116.1:15200174-15210160	HG00126#2#CM090130.1:15107161-15117149	0.9982978
CHM13#0#chr12	15040000	15049999	HG00097#1#CM094068.1:15202416-15212384	HG00126#2#CM090130.1:15107161-15117149	0.997294
CHM13#0#chr12	15040000	15049999	HG00099#1#CM087323.1:15063762-15073748	HG00099#2#CM087367.1:15098816-15108802	0.9986982
CHM13#0#chr12	15040000	15049999	HG00099#2#CM087367.1:15098816-15108802	HG00126#1#CM090116.1:15200174-15210160	0.9984979
CHM13#0#chr12	15040000	15049999	HG00097#1#CM094068.1:15202416-15212384	HG00099#2#CM087367.1:15098816-15108802	0.9972937
CHM13#0#chr12	15040000	15049999	HG00099#1#CM087323.1:15063762-15073748	HG00126#1#CM090116.1:15200174-15210160	0.9995995
CHM13#0#chr12	15040000	15049999	HG00097#1#CM094068.1:15202416-15212384	HG00099#1#CM087323.1:15063762-15073748	0.9981958
CHM13#0#chr12	15040000	15049999	HG00097#1#CM094068.1:15202416-15212384	HG00126#1#CM090116.1:15200174-15210160	0.9981958
CHM13#0#chr12	15050000	15059999	HG00099#1#CM087323.1:15073749-15083755	HG00126#1#CM090116.1:15210161-15220169	0.9999
