chrom	start	end	group.a	group.b	estimated.identity
CHM13#0#chr12	0	10000	SIM1#1	SIM1#2	0.997957
CHM13#0#chr12	0	10000	SIM1#1	SIM2#1	0.997948
CHM13#0#chr12	0	10000	SIM1#1	SIM2#2	0.997967
CHM13#0#chr12	0	10000	SIM1#1	SIM3#1	0.998211
CHM13#0#chr12	0	10000	SIM1#1	SIM3#2	0.997962
CHM13#0#chr12	0	10000	SIM1#2	SIM2#1	0.997551
CHM13#0#chr12	0	10000	SIM1#2	SIM2#2	0.998100
CHM13#0#chr12	0	10000	SIM1#2	SIM3#1	0.997920
CHM13#0#chr12	0	10000	SIM1#2	SIM3#2	0.997935
CHM13#0#chr12	0	10000	SIM2#1	SIM2#2	0.998035
CHM13#0#chr12	0	10000	SIM2#1	SIM3#1	0.998070
CHM13#0#chr12	0	10000	SIM2#1	SIM3#2	0.998349
CHM13#0#chr12	0	10000	SIM2#2	SIM3#1	0.998197
CHM13#0#chr12	0	10000	SIM2#2	SIM3#2	0.998033
CHM13#0#chr12	0	10000	SIM3#1	SIM3#2	0.997779
CHM13#0#chr12	10000	20000	SIM1#1	SIM1#2	0.997696
CHM13#0#chr12	10000	20000	SIM1#1	SIM2#1	0.998074
CHM13#0#chr12	10000	20000	SIM1#1	SIM2#2	0.998393
CHM13#0#chr12	10000	20000	SIM1#1	SIM3#1	0.998012
CHM13#0#chr12	10000	20000	SIM1#1	SIM3#2	0.997968
CHM13#0#chr12	10000	20000	SIM1#2	SIM2#1	0.998160
CHM13#0#chr12	10000	20000	SIM1#2	SIM2#2	0.997564
CHM13#0#chr12	10000	20000	SIM1#2	SIM3#1	0.997906
CHM13#0#chr12	10000	20000	SIM1#2	SIM3#2	0.998147
CHM13#0#chr12	10000	20000	SIM2#1	SIM2#2	0.998262
CHM13#0#chr12	10000	20000	SIM2#1	SIM3#1	0.997928
CHM13#0#chr12	10000	20000	SIM2#1	SIM3#2	0.998113
CHM13#0#chr12	10000	20000	SIM2#2	SIM3#1	0.998074
CHM13#0#chr12	10000	20000	SIM2#2	SIM3#2	0.998235
CHM13#0#chr12	10000	20000	SIM3#1	SIM3#2	0.997666
CHM13#0#chr12	20000	30000	SIM1#1	SIM1#2	0.998170
CHM13#0#chr12	20000	30000	SIM1#1	SIM2#1	0.997546
CHM13#0#chr12	20000	30000	SIM1#1	SIM2#2	0.997214
CHM13#0#chr12	20000	30000	SIM1#1	SIM3#1	0.997818
CHM13#0#chr12	20000	30000	SIM1#1	SIM3#2	0.997725
CHM13#0#chr12	20000	30000	SIM1#2	SIM2#1	0.998263
CHM13#0#chr12	20000	30000	SIM1#2	SIM2#2	0.998199
CHM13#0#chr12	20000	30000	SIM1#2	SIM3#1	0.997634
CHM13#0#chr12	20000	30000	SIM1#2	SIM3#2	0.998254
CHM13#0#chr12	20000	30000	SIM2#1	SIM2#2	0.997699
CHM13#0#chr12	20000	30000	SIM2#1	SIM3#1	0.997974
CHM13#0#chr12	20000	30000	SIM2#1	SIM3#2	0.997912
CHM13#0#chr12	20000	30000	SIM2#2	SIM3#1	0.998034
CHM13#0#chr12	20000	30000	SIM2#2	SIM3#2	0.998246
CHM13#0#chr12	20000	30000	SIM3#1	SIM3#2	0.998192
CHM13#0#chr12	30000	40000	SIM1#1	SIM1#2	0.998105
CHM13#0#chr12	30000	40000	SIM1#1	SIM2#1	0.998195
CHM13#0#chr12	30000	40000	SIM1#1	SIM2#2	0.998144
CHM13#0#chr12	30000	40000	SIM1#1	SIM3#1	0.997812
CHM13#0#chr12	30000	40000	SIM1#1	SIM3#2	0.997785
CHM13#0#chr12	30000	40000	SIM1#2	SIM2#1	0.997859
CHM13#0#chr12	30000	40000	SIM1#2	SIM2#2	0.998150
CHM13#0#chr12	30000	40000	SIM1#2	SIM3#1	0.997925
CHM13#0#chr12	30000	40000	SIM1#2	SIM3#2	0.998701
CHM13#0#chr12	30000	40000	SIM2#1	SIM2#2	0.997754
CHM13#0#chr12	30000	40000	SIM2#1	SIM3#1	0.997670
CHM13#0#chr12	30000	40000	SIM2#1	SIM3#2	0.998231
CHM13#0#chr12	30000	40000	SIM2#2	SIM3#1	0.998427
CHM13#0#chr12	30000	40000	SIM2#2	SIM3#2	0.998152
CHM13#0#chr12	30000	40000	SIM3#1	SIM3#2	0.998251
CHM13#0#chr12	40000	50000	SIM1#1	SIM1#2	0.998428
CHM13#0#chr12	40000	50000	SIM1#1	SIM2#1	0.997972
CHM13#0#chr12	40000	50000	SIM1#1	SIM2#2	0.997573
CHM13#0#chr12	40000	50000	SIM1#1	SIM3#1	0.997840
CHM13#0#chr12	40000	50000	SIM1#1	SIM3#2	0.998286
CHM13#0#chr12	40000	50000	SIM1#2	SIM2#1	0.997567
CHM13#0#chr12	40000	50000	SIM1#2	SIM2#2	0.998010
CHM13#0#chr12	40000	50000	SIM1#2	SIM3#1	0.998076
CHM13#0#chr12	40000	50000	SIM1#2	SIM3#2	0.997905
CHM13#0#chr12	40000	50000	SIM2#1	SIM2#2	0.998217
CHM13#0#chr12	40000	50000	SIM2#1	SIM3#1	0.998174
CHM13#0#chr12	40000	50000	SIM2#1	SIM3#2	0.998696
CHM13#0#chr12	40000	50000	SIM2#2	SIM3#1	0.998186
CHM13#0#chr12	40000	50000	SIM2#2	SIM3#2	0.997817
CHM13#0#chr12	40000	50000	SIM3#1	SIM3#2	0.997831
CHM13#0#chr12	50000	60000	SIM1#1	SIM1#2	0.997751
CHM13#0#chr12	50000	60000	SIM1#1	SIM2#1	0.998286
CHM13#0#chr12	50000	60000	SIM1#1	SIM2#2	0.997830
CHM13#0#chr12	50000	60000	SIM1#1	SIM3#1	0.997979
CHM13#0#chr12	50000	60000	SIM1#1	SIM3#2	0.998225
CHM13#0#chr12	50000	60000	SIM1#2	SIM2#1	0.997783
CHM13#0#chr12	50000	60000	SIM1#2	SIM2#2	0.997912
CHM13#0#chr12	50000	60000	SIM1#2	SIM3#1	0.997448
CHM13#0#chr12	50000	60000	SIM1#2	SIM3#2	0.997675
CHM13#0#chr12	50000	60000	SIM2#1	SIM2#2	0.997830
CHM13#0#chr12	50000	60000	SIM2#1	SIM3#1	0.998125
CHM13#0#chr12	50000	60000	SIM2#1	SIM3#2	0.998358
CHM13#0#chr12	50000	60000	SIM2#2	SIM3#1	0.997994
CHM13#0#chr12	50000	60000	SIM2#2	SIM3#2	0.998078
CHM13#0#chr12	50000	60000	SIM3#1	SIM3#2	0.998050
CHM13#0#chr12	60000	70000	SIM1#1	SIM1#2	0.998325
