chrom	start	end	group.a	group.b	estimated.identity
CHM13#0#chr20	20001	25000	NA19682#1#CM094160.1:19246-24245	NA19682#2#CM094170.1:21045-26044	1
CHM13#0#chr20	60001	65000	NA19682#1#CM094160.1:59249-64247	NA19682#2#CM094170.1:61054-66052	1
CHM13#0#chr20	65001	70000	NA19682#1#CM094160.1:64248-69245	NA19682#2#CM094170.1:66053-71050	1
CHM13#0#chr20	100001	105000	NA19682#1#CM094160.1:99297-104296	NA19682#2#CM094170.1:100935-105934	1
CHM13#0#chr20	110001	115000	NA19682#1#CM094160.1:109297-114296	NA19682#2#CM094170.1:110930-115929	1
CHM13#0#chr20	115001	120000	NA19682#1#CM094160.1:114297-119296	NA19682#2#CM094170.1:115930-120929	1
CHM13#0#chr20	120001	125000	NA19682#1#CM094160.1:119297-124296	NA19682#2#CM094170.1:120930-125929	1
CHM13#0#chr20	155001	160000	HG01167#1#CM094537.1:154064-159065	HG01167#2#CM094551.1:196749-201750	1
CHM13#0#chr20	165001	170000	HG01167#1#CM094537.1:164066-169063	HG01167#2#CM094551.1:206751-211748	1
CHM13#0#chr20	165001	170000	HG01167#1#CM094537.1:164066-169063	NA19682#1#CM094160.1:164282-169279	1
CHM13#0#chr20	165001	170000	HG01167#2#CM094551.1:206751-211748	NA19682#1#CM094160.1:164282-169279	1
CHM13#0#chr20	195001	200000	NA19682#1#CM094160.1:194280-199279	NA19682#2#CM094170.1:195937-200936	1
CHM13#0#chr20	200001	205000	HG01167#2#CM094551.1:241741-246740	NA19682#2#CM094170.1:200937-205936	1
CHM13#0#chr20	200001	205000	NA19682#1#CM094160.1:199280-204279	NA19682#2#CM094170.1:200937-205936	1
CHM13#0#chr20	200001	205000	HG01167#2#CM094551.1:241741-246740	NA19682#1#CM094160.1:199280-204279	1
CHM13#0#chr20	210001	215000	HG01167#2#CM094551.1:251741-256740	NA19682#2#CM094170.1:210941-215940	1
CHM13#0#chr20	210001	215000	NA19682#1#CM094160.1:209280-214279	NA19682#2#CM094170.1:210941-215940	1
CHM13#0#chr20	210001	215000	HG01167#2#CM094551.1:251741-256740	NA19682#1#CM094160.1:209280-214279	1
CHM13#0#chr20	220001	225000	NA19682#1#CM094160.1:219280-224279	NA19682#2#CM094170.1:220941-225940	1
CHM13#0#chr20	225001	230000	HG01167#2#CM094551.1:266741-271738	NA19682#2#CM094170.1:225941-230938	1
CHM13#0#chr20	230001	235000	HG01167#2#CM094551.1:271739-276738	NA19682#1#CM094160.1:229278-234277	1
CHM13#0#chr20	235001	240000	NA19682#1#CM094160.1:234278-239271	NA19682#2#CM094170.1:235939-240932	1
CHM13#0#chr20	245001	250000	HG01167#2#CM094551.1:286727-291732	NA19682#2#CM094170.1:245927-250932	1
CHM13#0#chr20	250001	255000	HG01167#2#CM094551.1:291733-296733	NA19682#2#CM094170.1:250933-255933	1
CHM13#0#chr20	265001	270000	HG01167#2#CM094551.1:306731-311730	NA19682#1#CM094160.1:264269-269268	1
CHM13#0#chr20	275001	280000	NA19682#1#CM094160.1:274265-279263	NA19682#2#CM094170.1:275929-280927	1
CHM13#0#chr20	280001	285000	HG01167#1#CM094537.1:278923-283915	NA19682#2#CM094170.1:280928-285920	1
CHM13#0#chr20	280001	285000	HG01167#2#CM094551.1:321725-326717	NA19682#2#CM094170.1:280928-285920	1
CHM13#0#chr20	280001	285000	NA19682#1#CM094160.1:279264-284256	NA19682#2#CM094170.1:280928-285920	1
CHM13#0#chr20	280001	285000	HG01167#1#CM094537.1:278923-283915	HG01167#2#CM094551.1:321725-326717	1
CHM13#0#chr20	280001	285000	HG01167#1#CM094537.1:278923-283915	NA19682#1#CM094160.1:279264-284256	1
CHM13#0#chr20	280001	285000	HG01167#2#CM094551.1:321725-326717	NA19682#1#CM094160.1:279264-284256	1
CHM13#0#chr20	290001	295000	HG01167#2#CM094551.1:331714-336716	NA19682#1#CM094160.1:289255-294257	1
CHM13#0#chr20	295001	300000	NA19682#1#CM094160.1:294258-299258	NA19682#2#CM094170.1:295923-300923	1
CHM13#0#chr20	310001	315000	HG01167#2#CM094551.1:351730-356729	NA19682#1#CM094160.1:309279-314278	1
CHM13#0#chr20	335001	340000	NA19682#1#CM094160.1:334229-339228	NA19682#2#CM094170.1:335861-340860	1
CHM13#0#chr20	355001	360000	HG01167#1#CM094537.1:353874-358867	HG01167#2#CM094551.1:396316-401309	1
CHM13#0#chr20	365001	370000	HG01167#1#CM094537.1:363871-368870	NA19682#2#CM094170.1:365862-370861	1
CHM13#0#chr20	365001	370000	HG01167#2#CM094551.1:406313-411312	NA19682#2#CM094170.1:365862-370861	1
CHM13#0#chr20	365001	370000	NA19682#1#CM094160.1:364230-369229	NA19682#2#CM094170.1:365862-370861	1
CHM13#0#chr20	365001	370000	HG01167#1#CM094537.1:363871-368870	HG01167#2#CM094551.1:406313-411312	1
CHM13#0#chr20	365001	370000	HG01167#1#CM094537.1:363871-368870	NA19682#1#CM094160.1:364230-369229	1
CHM13#0#chr20	365001	370000	HG01167#2#CM094551.1:406313-411312	NA19682#1#CM094160.1:364230-369229	1
CHM13#0#chr20	370001	375000	HG01167#1#CM094537.1:368871-373870	NA19682#2#CM094170.1:370862-375861	1
CHM13#0#chr20	370001	375000	HG01167#2#CM094551.1:411313-416312	NA19682#2#CM094170.1:370862-375861	1
CHM13#0#chr20	370001	375000	NA19682#1#CM094160.1:369230-374229	NA19682#2#CM094170.1:370862-375861	1
CHM13#0#chr20	370001	375000	HG01167#1#CM094537.1:368871-373870	HG01167#2#CM094551.1:411313-416312	1
CHM13#0#chr20	370001	375000	HG01167#1#CM094537.1:368871-373870	NA19682#1#CM094160.1:369230-374229	1
CHM13#0#chr20	370001	375000	HG01167#2#CM094551.1:411313-416312	NA19682#1#CM094160.1:369230-374229	1
CHM13#0#chr20	380001	385000	HG01167#1#CM094537.1:378882-383880	HG01167#2#CM094551.1:421307-426305	1
CHM13#0#chr20	385001	390000	HG01167#1#CM094537.1:383881-388881	NA19682#2#CM094170.1:385876-390876	1
CHM13#0#chr20	385001	390000	NA19682#1#CM094160.1:384233-389233	NA19682#2#CM094170.1:385876-390876	1
CHM13#0#chr20	385001	390000	HG01167#1#CM094537.1:383881-388881	NA19682#1#CM094160.1:384233-389233	1
CHM13#0#chr20	395001	400000	HG01167#1#CM094537.1:393857-398856	NA19682#2#CM094170.1:395854-400853	1
CHM13#0#chr20	395001	400000	HG01167#2#CM094551.1:436287-441286	NA19682#2#CM094170.1:395854-400853	1
CHM13#0#chr20	395001	400000	NA19682#1#CM094160.1:394229-399228	NA19682#2#CM094170.1:395854-400853	1
CHM13#0#chr20	395001	400000	HG01167#1#CM094537.1:393857-398856	HG01167#2#CM094551.1:436287-441286	1
CHM13#0#chr20	395001	400000	HG01167#1#CM094537.1:393857-398856	NA19682#1#CM094160.1:394229-399228	1
CHM13#0#chr20	395001	400000	HG01167#2#CM094551.1:436287-441286	NA19682#1#CM094160.1:394229-399228	1
CHM13#0#chr20	400001	405000	HG01167#1#CM094537.1:398857-403859	NA19682#2#CM094170.1:400854-405856	1
CHM13#0#chr20	405001	410000	HG01167#1#CM094537.1:403860-408858	NA19682#2#CM094170.1:405857-410855	1
CHM13#0#chr20	415001	420000	HG01167#2#CM094551.1:456286-461285	NA19682#1#CM094160.1:414229-419228	1
CHM13#0#chr20	420001	425000	NA19682#1#CM094160.1:419229-424228	NA19682#2#CM094170.1:420868-425867	1
CHM13#0#chr20	430001	435000	HG01167#1#CM094537.1:428810-433810	NA19682#1#CM094160.1:429230-434230	1
CHM13#0#chr20	430001	435000	HG01167#2#CM094551.1:471293-476292	NA19682#2#CM094170.1:430870-435869	1
CHM13#0#chr20	450001	455000	HG01167#1#CM094537.1:448825-453729	NA19682#2#CM094170.1:450800-455704	1
CHM13#0#chr20	455001	460000	HG01167#1#CM094537.1:453730-458728	NA19682#2#CM094170.1:455705-460703	1
CHM13#0#chr20	455001	460000	NA19682#1#CM094160.1:454144-459142	NA19682#2#CM094170.1:455705-460703	1
CHM13#0#chr20	455001	460000	HG01167#1#CM094537.1:453730-458728	NA19682#1#CM094160.1:454144-459142	1
CHM13#0#chr20	460001	465000	HG01167#1#CM094537.1:458729-463713	NA19682#2#CM094170.1:460704-465688	1
CHM13#0#chr20	470001	475000	NA19682#1#CM094160.1:469128-474128	NA19682#2#CM094170.1:470688-475688	1
CHM13#0#chr20	470001	475000	HG01167#1#CM094537.1:468714-473713	HG01167#2#CM094551.1:511157-516156	1
CHM13#0#chr20	475001	480000	NA19682#1#CM094160.1:474129-479128	NA19682#2#CM094170.1:475689-480688	1
CHM13#0#chr20	480001	485000	HG01167#1#CM094537.1:478714-483713	NA19682#2#CM094170.1:480689-485688	1
CHM13#0#chr20	485001	490000	HG01167#1#CM094537.1:483714-488713	NA19682#2#CM094170.1:485689-490688	1
CHM13#0#chr20	485001	490000	NA19682#1#CM094160.1:484129-489128	NA19682#2#CM094170.1:485689-490688	1
CHM13#0#chr20	485001	490000	HG01167#1#CM094537.1:483714-488713	NA19682#1#CM094160.1:484129-489128	1
CHM13#0#chr20	490001	495000	NA19682#1#CM094160.1:489129-494128	NA19682#2#CM094170.1:490689-495688	1
CHM13#0#chr20	495001	500000	HG01167#1#CM094537.1:493715-498732	NA19682#2#CM094170.1:495689-500706	1
CHM13#0#chr20	495001	500000	HG01167#2#CM094551.1:536173-541190	NA19682#2#CM094170.1:495689-500706	1
CHM13#0#chr20	495001	500000	NA19682#1#CM094160.1:494129-499146	NA19682#2#CM094170.1:495689-500706	1
CHM13#0#chr20	495001	500000	HG01167#1#CM094537.1:493715-498732	HG01167#2#CM094551.1:536173-541190	1
CHM13#0#chr20	495001	500000	HG01167#1#CM094537.1:493715-498732	NA19682#1#CM094160.1:494129-499146	1
CHM13#0#chr20	495001	500000	HG01167#2#CM094551.1:536173-541190	NA19682#1#CM094160.1:494129-499146	1
CHM13#0#chr20	500001	505000	HG01167#1#CM094537.1:498733-503732	NA19682#2#CM094170.1:500707-505706	1
CHM13#0#chr20	500001	505000	HG01167#2#CM094551.1:541191-546190	NA19682#2#CM094170.1:500707-505706	1
CHM13#0#chr20	500001	505000	NA19682#1#CM094160.1:499147-504146	NA19682#2#CM094170.1:500707-505706	1
CHM13#0#chr20	500001	505000	HG01167#1#CM094537.1:498733-503732	HG01167#2#CM094551.1:541191-546190	1
CHM13#0#chr20	500001	505000	HG01167#1#CM094537.1:498733-503732	NA19682#1#CM094160.1:499147-504146	1
CHM13#0#chr20	500001	505000	HG01167#2#CM094551.1:541191-546190	NA19682#1#CM094160.1:499147-504146	1
CHM13#0#chr20	505001	510000	HG01167#1#CM094537.1:503733-508728	NA19682#2#CM094170.1:505707-510702	1
CHM13#0#chr20	505001	510000	NA19682#1#CM094160.1:504147-509142	NA19682#2#CM094170.1:505707-510702	1
CHM13#0#chr20	505001	510000	HG01167#1#CM094537.1:503733-508728	NA19682#1#CM094160.1:504147-509142	1
CHM13#0#chr20	515001	520000	HG01167#1#CM094537.1:513730-518727	NA19682#2#CM094170.1:515703-520700	1
CHM13#0#chr20	520001	525000	HG01167#1#CM094537.1:518728-523726	NA19682#1#CM094160.1:519141-524139	1
CHM13#0#chr20	530001	535000	HG01167#1#CM094537.1:528769-533763	NA19682#2#CM094170.1:530715-535709	1
CHM13#0#chr20	535001	540000	HG01167#1#CM094537.1:533764-538764	NA19682#2#CM094170.1:535710-540710	1
CHM13#0#chr20	535001	540000	NA19682#1#CM094160.1:534173-539173	NA19682#2#CM094170.1:535710-540710	1
CHM13#0#chr20	535001	540000	HG01167#1#CM094537.1:533764-538764	NA19682#1#CM094160.1:534173-539173	1
CHM13#0#chr20	540001	545000	HG01167#1#CM094537.1:538765-543764	NA19682#2#CM094170.1:540711-545710	1
CHM13#0#chr20	540001	545000	NA19682#1#CM094160.1:539174-544173	NA19682#2#CM094170.1:540711-545710	1
CHM13#0#chr20	540001	545000	HG01167#1#CM094537.1:538765-543764	NA19682#1#CM094160.1:539174-544173	1
CHM13#0#chr20	550001	555000	HG01167#1#CM094537.1:548764-553762	NA19682#1#CM094160.1:549172-554170	1
CHM13#0#chr20	560001	565000	HG01167#1#CM094537.1:558767-563766	NA19682#2#CM094170.1:560715-565714	1
CHM13#0#chr20	560001	565000	HG01167#2#CM094551.1:601228-606227	NA19682#2#CM094170.1:560715-565714	1
CHM13#0#chr20	560001	565000	NA19682#1#CM094160.1:559175-564174	NA19682#2#CM094170.1:560715-565714	1
CHM13#0#chr20	560001	565000	HG01167#1#CM094537.1:558767-563766	HG01167#2#CM094551.1:601228-606227	1
CHM13#0#chr20	560001	565000	HG01167#1#CM094537.1:558767-563766	NA19682#1#CM094160.1:559175-564174	1
CHM13#0#chr20	560001	565000	HG01167#2#CM094551.1:601228-606227	NA19682#1#CM094160.1:559175-564174	1
CHM13#0#chr20	565001	570000	NA19682#1#CM094160.1:564175-569169	NA19682#2#CM094170.1:565715-570709	1
CHM13#0#chr20	570001	575000	HG01167#2#CM094551.1:611228-616238	NA19682#1#CM094160.1:569170-574180	1
CHM13#0#chr20	575001	580000	NA19682#1#CM094160.1:574181-579182	NA19682#2#CM094170.1:575717-580718	1
CHM13#0#chr20	580001	585000	HG01167#1#CM094537.1:578777-583776	HG01167#2#CM094551.1:621242-626241	1
CHM13#0#chr20	580001	585000	HG01167#1#CM094537.1:578777-583776	NA19682#1#CM094160.1:579183-584182	1
CHM13#0#chr20	580001	585000	HG01167#2#CM094551.1:621242-626241	NA19682#1#CM094160.1:579183-584182	1
CHM13#0#chr20	585001	590000	HG01167#1#CM094537.1:583777-588777	NA19682#2#CM094170.1:585716-590716	1
CHM13#0#chr20	585001	590000	HG01167#2#CM094551.1:626242-631242	NA19682#2#CM094170.1:585716-590716	1
CHM13#0#chr20	585001	590000	NA19682#1#CM094160.1:584183-589183	NA19682#2#CM094170.1:585716-590716	1
CHM13#0#chr20	585001	590000	HG01167#1#CM094537.1:583777-588777	HG01167#2#CM094551.1:626242-631242	1
CHM13#0#chr20	585001	590000	HG01167#1#CM094537.1:583777-588777	NA19682#1#CM094160.1:584183-589183	1
CHM13#0#chr20	585001	590000	HG01167#2#CM094551.1:626242-631242	NA19682#1#CM094160.1:584183-589183	1
CHM13#0#chr20	590001	595000	HG01167#1#CM094537.1:588778-593757	NA19682#2#CM094170.1:590717-595696	1
CHM13#0#chr20	595001	600000	HG01167#1#CM094537.1:593758-598757	NA19682#1#CM094160.1:594157-599156	1
CHM13#0#chr20	615001	620000	HG01167#2#CM094551.1:656210-661209	NA19682#2#CM094170.1:615675-620674	1
CHM13#0#chr20	620001	625000	HG01167#1#CM094537.1:618746-623748	NA19682#2#CM094170.1:620675-625677	1
CHM13#0#chr20	620001	625000	HG01167#2#CM094551.1:661210-666212	NA19682#2#CM094170.1:620675-625677	1
CHM13#0#chr20	620001	625000	HG01167#1#CM094537.1:618746-623748	HG01167#2#CM094551.1:661210-666212	1
CHM13#0#chr20	630001	635000	HG01167#1#CM094537.1:628750-633754	HG01167#2#CM094551.1:671214-676218	1
CHM13#0#chr20	640001	645000	HG01167#1#CM094537.1:638753-643751	HG01167#2#CM094551.1:681214-686212	1
CHM13#0#chr20	645001	650000	NA19682#1#CM094160.1:644162-649162	NA19682#2#CM094170.1:645676-650676	1
CHM13#0#chr20	650001	655000	HG01167#1#CM094537.1:648753-653752	HG01167#2#CM094551.1:691214-696213	1
CHM13#0#chr20	660001	665000	HG01167#1#CM094537.1:658761-663761	HG01167#2#CM094551.1:701168-706168	1
CHM13#0#chr20	665001	670000	HG01167#1#CM094537.1:663762-668761	HG01167#2#CM094551.1:706169-711168	1
CHM13#0#chr20	670001	675000	NA19682#1#CM094160.1:669161-674160	NA19682#2#CM094170.1:670630-675629	1
CHM13#0#chr20	680001	685000	HG01167#2#CM094551.1:721168-726167	NA19682#1#CM094160.1:679161-684160	1
CHM13#0#chr20	700001	705000	NA19682#1#CM094160.1:699637-704637	NA19682#2#CM094170.1:700322-705322	1
CHM13#0#chr20	705001	710000	NA19682#1#CM094160.1:704638-709637	NA19682#2#CM094170.1:705323-710322	1
CHM13#0#chr20	710001	715000	HG01167#1#CM094537.1:709052-714051	NA19682#2#CM094170.1:710323-715322	1
CHM13#0#chr20	760001	765000	HG01167#1#CM094537.1:759316-764313	NA19682#2#CM094170.1:760103-765100	1
CHM13#0#chr20	765001	770000	HG01167#1#CM094537.1:764314-769314	NA19682#2#CM094170.1:765101-770101	1
CHM13#0#chr20	805001	810000	HG01167#1#CM094537.1:804380-809340	NA19682#2#CM094170.1:805119-810079	1
CHM13#0#chr20	820001	825000	HG01167#1#CM094537.1:819342-824341	HG01167#2#CM094551.1:861018-866017	1
CHM13#0#chr20	820001	825000	HG01167#1#CM094537.1:819342-824341	NA19682#1#CM094160.1:819589-824588	1
CHM13#0#chr20	820001	825000	HG01167#2#CM094551.1:861018-866017	NA19682#1#CM094160.1:819589-824588	1
CHM13#0#chr20	825001	830000	HG01167#1#CM094537.1:824342-829341	HG01167#2#CM094551.1:866018-871017	1
CHM13#0#chr20	825001	830000	HG01167#1#CM094537.1:824342-829341	NA19682#1#CM094160.1:824589-829588	1
CHM13#0#chr20	825001	830000	HG01167#2#CM094551.1:866018-871017	NA19682#1#CM094160.1:824589-829588	1
CHM13#0#chr20	830001	835000	HG01167#1#CM094537.1:829342-834319	HG01167#2#CM094551.1:871018-875995	1
CHM13#0#chr20	830001	835000	HG01167#1#CM094537.1:829342-834319	NA19682#1#CM094160.1:829589-834566	1
CHM13#0#chr20	830001	835000	HG01167#2#CM094551.1:871018-875995	NA19682#1#CM094160.1:829589-834566	1
CHM13#0#chr20	850001	855000	HG01167#2#CM094551.1:891024-896043	NA19682#2#CM094170.1:850140-855159	1
CHM13#0#chr20	850001	855000	NA19682#1#CM094160.1:849569-854588	NA19682#2#CM094170.1:850140-855159	1
CHM13#0#chr20	850001	855000	HG01167#2#CM094551.1:891024-896043	NA19682#1#CM094160.1:849569-854588	1
